id,food_name,portion_label,portion_grams,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,sodium_mg_per_100g,is_vegan,is_vegetarian,is_gluten_free,allergens,image_r,image_g,image_b,brightness
56,Veggie Burger,1 burger,227,186.20,11.86,23.66,4.92,5.94,516.88,1,1,0,gluten|soy,172,121,83,125
57,Sushi Roll,8 pieces,258,147.00,5.93,27.61,1.97,0.99,407.54,0,0,0,fish|soy,231,221,205,219
58,Fruit Bowl,1 bowl,227,63.70,0.99,15.78,0.30,2.97,1.99,1,1,1,none,214,146,101,154
59,Idli Sambar,3 idlis,268,130.34,4.74,25.64,1.18,3.46,278.32,1,1,1,none,222,200,164,195
60,Peanut Butter Sandwich,1 sandwich,155,286.16,11.86,29.58,13.78,3.96,387.66,1,1,0,peanut|gluten,186,142,93,140
61,Grilled Chicken Breast,1 serving,146,165.00,31.00,0.00,3.60,0.00,74.00,0,0,1,none,173,140,104,139
62,Brown Rice,1 bowl,175,111.00,2.60,23.00,0.90,1.80,5.00,1,1,1,none,202,183,134,173
63,Mixed Salad,1 bowl,116,28.00,1.90,5.50,0.30,2.20,40.00,1,1,1,none,99,157,86,114
64,Paneer Curry,1 bowl,194,265.00,11.00,9.00,20.00,2.00,420.00,0,1,1,dairy,189,127,85,134
65,Chapati,2 pieces,78,297.00,9.60,55.00,3.70,7.30,310.00,1,1,0,gluten,205,165,114,161
66,Omelette,2 eggs,107,154.00,12.60,1.10,10.60,0.00,155.00,0,1,1,egg,224,196,108,176
67,Salmon Fillet,1 fillet,155,208.00,20.00,0.00,13.00,0.00,59.00,0,0,1,fish,229,147,123,166
68,Avocado Toast,1 slice,136,220.00,6.00,23.00,12.00,7.00,340.00,1,1,0,gluten,152,184,104,147
69,Greek Yogurt Bowl,1 bowl,165,122.00,11.00,7.00,5.00,1.50,62.00,0,1,1,dairy,233,231,205,223
70,Tofu Stir Fry,1 bowl,204,145.00,12.00,10.00,8.00,3.00,390.00,1,1,1,soy,164,153,118,145
71,Lentil Soup,1 bowl,233,116.00,9.00,20.00,0.50,8.00,360.00,1,1,1,none,178,125,73,125
72,Beef Steak,1 steak,175,271.00,25.00,0.00,19.00,0.00,58.00,0,0,1,none,146,83,67,99
73,Banana Smoothie,1 glass,291,96.00,3.50,18.00,1.20,2.60,45.00,0,1,1,dairy,234,222,143,200
74,Quinoa Bowl,1 bowl,194,120.00,4.40,21.00,1.90,2.80,14.00,1,1,1,none,206,196,144,182
75,Pasta Alfredo,1 plate,272,230.00,8.00,26.00,11.00,1.50,460.00,0,1,0,gluten|dairy,234,218,174,209
76,Veggie Burger,1 burger,213,190.00,12.00,24.00,5.00,6.00,520.00,1,1,0,gluten|soy,170,128,88,129
77,Sushi Roll,8 pieces,243,150.00,6.00,28.00,2.00,1.00,410.00,0,0,0,fish|soy,229,228,210,222
78,Fruit Bowl,1 bowl,213,65.00,1.00,16.00,0.30,3.00,2.00,1,1,1,none,212,153,106,157
79,Idli Sambar,3 idlis,252,133.00,4.80,26.00,1.20,3.50,280.00,1,1,1,none,220,207,169,199
80,Peanut Butter Sandwich,1 sandwich,146,292.00,12.00,30.00,14.00,4.00,390.00,1,1,0,peanut|gluten,184,149,98,144
81,Grilled Chicken Breast,1 serving,148,168.30,31.37,0.00,3.66,0.00,74.44,0,0,1,none,171,136,100,136
82,Brown Rice,1 bowl,177,113.22,2.63,23.32,0.91,1.82,5.03,1,1,1,none,200,179,130,170
83,Mixed Salad,1 bowl,118,28.56,1.92,5.58,0.30,2.22,40.24,1,1,1,none,97,153,82,111
84,Paneer Curry,1 bowl,197,270.30,11.13,9.13,20.32,2.02,422.52,0,1,1,dairy,187,123,81,130
85,Chapati,2 pieces,79,302.94,9.72,55.77,3.76,7.37,311.86,1,1,0,gluten,203,161,110,158
86,Omelette,2 eggs,108,157.08,12.75,1.12,10.77,0.00,155.93,0,1,1,egg,222,192,104,173
87,Salmon Fillet,1 fillet,158,212.16,20.24,0.00,13.21,0.00,59.35,0,0,1,fish,227,143,119,163
88,Avocado Toast,1 slice,138,224.40,6.07,23.32,12.19,7.07,342.04,1,1,0,gluten,150,180,100,143
89,Greek Yogurt Bowl,1 bowl,167,124.44,11.13,7.10,5.08,1.52,62.37,0,1,1,dairy,231,227,201,220
90,Tofu Stir Fry,1 bowl,207,147.90,12.14,10.14,8.13,3.03,392.34,1,1,1,soy,162,149,114,142
91,Lentil Soup,1 bowl,236,118.32,9.11,20.28,0.51,8.08,362.16,1,1,1,none,176,121,69,122
92,Beef Steak,1 steak,177,276.42,25.30,0.00,19.30,0.00,58.35,0,0,1,none,144,79,63,95
93,Banana Smoothie,1 glass,296,97.92,3.54,18.25,1.22,2.63,45.27,0,1,1,dairy,232,218,139,196
94,Quinoa Bowl,1 bowl,197,122.40,4.45,21.29,1.93,2.83,14.08,1,1,1,none,204,192,140,179
95,Pasta Alfredo,1 plate,276,234.60,8.10,26.36,11.18,1.52,462.76,0,1,0,gluten|dairy,232,214,170,205
96,Veggie Burger,1 burger,217,193.80,12.14,24.34,5.08,6.06,523.12,1,1,0,gluten|soy,168,124,84,125
97,Sushi Roll,8 pieces,246,153.00,6.07,28.39,2.03,1.01,412.46,0,0,0,fish|soy,227,224,206,219
98,Fruit Bowl,1 bowl,217,66.30,1.01,16.22,0.30,3.03,2.01,1,1,1,none,210,149,102,154
99,Idli Sambar,3 idlis,256,135.66,4.86,26.36,1.22,3.54,281.68,1,1,1,none,218,203,165,195
100,Peanut Butter Sandwich,1 sandwich,148,297.84,12.14,30.42,14.22,4.04,392.34,1,1,0,peanut|gluten,182,145,94,140
101,Grilled Chicken Breast,1 serving,150,171.60,31.74,0.00,3.72,0.00,74.89,0,0,1,none,169,132,105,135
102,Brown Rice,1 bowl,180,115.44,2.66,23.64,0.93,1.84,5.06,1,1,1,none,198,175,135,169
103,Mixed Salad,1 bowl,120,29.12,1.95,5.65,0.31,2.24,40.48,1,1,1,none,95,149,87,110
104,Paneer Curry,1 bowl,200,275.60,11.26,9.25,20.64,2.04,425.04,0,1,1,dairy,185,119,86,130
105,Chapati,2 pieces,80,308.88,9.83,56.54,3.82,7.45,313.72,1,1,0,gluten,201,157,115,158
106,Omelette,2 eggs,110,160.16,12.90,1.13,10.94,0.00,156.86,0,1,1,egg,220,188,109,172
107,Salmon Fillet,1 fillet,160,216.32,20.48,0.00,13.42,0.00,59.71,0,0,1,fish,225,139,124,163
108,Avocado Toast,1 slice,140,228.80,6.14,23.64,12.38,7.14,344.08,1,1,0,gluten,148,176,105,143
109,Greek Yogurt Bowl,1 bowl,170,126.88,11.26,7.20,5.16,1.53,62.74,0,1,1,dairy,229,223,206,219
110,Tofu Stir Fry,1 bowl,210,150.80,12.29,10.28,8.26,3.06,394.68,1,1,1,soy,160,145,119,141
111,Lentil Soup,1 bowl,240,120.64,9.22,20.56,0.52,8.16,364.32,1,1,1,none,174,117,74,122
112,Beef Steak,1 steak,180,281.84,25.60,0.00,19.61,0.00,58.70,0,0,1,none,142,75,68,95
113,Banana Smoothie,1 glass,300,99.84,3.58,18.50,1.24,2.65,45.54,0,1,1,dairy,230,214,144,196
114,Quinoa Bowl,1 bowl,200,124.80,4.51,21.59,1.96,2.86,14.17,1,1,1,none,202,188,145,178
115,Pasta Alfredo,1 plate,280,239.20,8.19,26.73,11.35,1.53,465.52,0,1,0,gluten|dairy,230,210,175,205
116,Veggie Burger,1 burger,220,197.60,12.29,24.67,5.16,6.12,526.24,1,1,0,gluten|soy,166,120,89,125
117,Sushi Roll,8 pieces,250,156.00,6.14,28.78,2.06,1.02,414.92,0,0,0,fish|soy,225,220,211,219
118,Fruit Bowl,1 bowl,220,67.60,1.02,16.45,0.31,3.06,2.02,1,1,1,none,208,145,107,153
119,Idli Sambar,3 idlis,260,138.32,4.92,26.73,1.24,3.57,283.36,1,1,1,none,216,199,170,195
120,Peanut Butter Sandwich,1 sandwich,150,303.68,12.29,30.84,14.45,4.08,394.68,1,1,0,peanut|gluten,180,141,99,140
121,Grilled Chicken Breast,1 serving,152,174.90,32.12,0.00,3.77,0.00,75.33,0,0,1,none,167,139,101,136
122,Brown Rice,1 bowl,183,117.66,2.69,23.97,0.94,1.85,5.09,1,1,1,none,196,182,131,170
123,Mixed Salad,1 bowl,122,29.68,1.97,5.73,0.31,2.27,40.72,1,1,1,none,93,156,83,111
124,Paneer Curry,1 bowl,203,280.90,11.40,9.38,20.96,2.06,427.56,0,1,1,dairy,183,126,82,130
125,Chapati,2 pieces,81,314.82,9.95,57.31,3.88,7.52,315.58,1,1,0,gluten,199,164,111,158
126,Omelette,2 eggs,112,163.24,13.05,1.15,11.11,0.00,157.79,0,1,1,egg,218,195,105,173
127,Salmon Fillet,1 fillet,162,220.48,20.72,0.00,13.62,0.00,60.06,0,0,1,fish,223,146,120,163
128,Avocado Toast,1 slice,142,233.20,6.22,23.97,12.58,7.21,346.12,1,1,0,gluten,146,183,101,143
129,Greek Yogurt Bowl,1 bowl,173,129.32,11.40,7.29,5.24,1.54,63.12,0,1,1,dairy,227,230,202,220
130,Tofu Stir Fry,1 bowl,213,153.70,12.43,10.42,8.38,3.09,397.02,1,1,1,soy,158,152,115,142
131,Lentil Soup,1 bowl,244,122.96,9.32,20.84,0.52,8.24,366.48,1,1,1,none,172,124,70,122
132,Beef Steak,1 steak,183,287.26,25.90,0.00,19.91,0.00,59.04,0,0,1,none,140,82,64,95
133,Banana Smoothie,1 glass,304,101.76,3.63,18.76,1.26,2.68,45.81,0,1,1,dairy,228,221,140,196
134,Quinoa Bowl,1 bowl,203,127.20,4.56,21.88,1.99,2.88,14.25,1,1,1,none,200,195,141,179
135,Pasta Alfredo,1 plate,284,243.80,8.29,27.09,11.53,1.54,468.28,0,1,0,gluten|dairy,228,217,171,205
136,Veggie Burger,1 burger,223,201.40,12.43,25.01,5.24,6.18,529.36,1,1,0,gluten|soy,164,127,85,125
137,Sushi Roll,8 pieces,254,159.00,6.22,29.18,2.10,1.03,417.38,0,0,0,fish|soy,223,227,207,219
138,Fruit Bowl,1 bowl,223,68.90,1.04,16.67,0.31,3.09,2.04,1,1,1,none,206,152,103,154
139,Idli Sambar,3 idlis,264,140.98,4.97,27.09,1.26,3.60,285.04,1,1,1,none,214,206,166,195
140,Peanut Butter Sandwich,1 sandwich,152,309.52,12.43,31.26,14.67,4.12,397.02,1,1,0,peanut|gluten,178,148,95,140
141,Grilled Chicken Breast,1 serving,155,155.10,29.88,0.00,3.43,0.00,72.67,0,0,1,none,178,135,106,140
142,Brown Rice,1 bowl,185,104.34,2.51,22.03,0.86,1.75,4.91,1,1,1,none,207,178,136,174
143,Mixed Salad,1 bowl,124,26.32,1.83,5.27,0.29,2.13,39.28,1,1,1,none,104,152,88,115
144,Paneer Curry,1 bowl,206,249.10,10.60,8.62,19.04,1.94,412.44,0,1,1,dairy,194,122,87,134
145,Chapati,2 pieces,82,279.18,9.25,52.69,3.52,7.08,304.42,1,1,0,gluten,210,160,116,162
146,Omelette,2 eggs,113,144.76,12.15,1.05,10.09,0.00,152.21,0,1,1,egg,229,191,110,177
147,Salmon Fillet,1 fillet,165,195.52,19.28,0.00,12.38,0.00,57.94,0,0,1,fish,234,142,125,167
148,Avocado Toast,1 slice,144,206.80,5.78,22.03,11.42,6.79,333.88,1,1,0,gluten,157,179,106,147
149,Greek Yogurt Bowl,1 bowl,175,114.68,10.60,6.71,4.76,1.46,60.88,0,1,1,dairy,238,226,207,224
150,Tofu Stir Fry,1 bowl,216,136.30,11.57,9.58,7.62,2.91,382.98,1,1,1,soy,169,148,120,146
151,Lentil Soup,1 bowl,247,109.04,8.68,19.16,0.48,7.76,353.52,1,1,1,none,183,120,75,126
152,Beef Steak,1 steak,185,254.74,24.10,0.00,18.09,0.00,56.96,0,0,1,none,151,78,69,99
153,Banana Smoothie,1 glass,309,90.24,3.37,17.24,1.14,2.52,44.19,0,1,1,dairy,239,217,145,200
154,Quinoa Bowl,1 bowl,206,112.80,4.24,20.12,1.81,2.72,13.75,1,1,1,none,211,191,146,183
155,Pasta Alfredo,1 plate,288,216.20,7.71,24.91,10.47,1.46,451.72,0,1,0,gluten|dairy,239,213,176,209
156,Veggie Burger,1 burger,227,178.60,11.57,22.99,4.76,5.82,510.64,1,1,0,gluten|soy,175,123,90,129
157,Sushi Roll,8 pieces,258,141.00,5.78,26.82,1.90,0.97,402.62,0,0,0,fish|soy,234,223,212,223
158,Fruit Bowl,1 bowl,227,61.10,0.96,15.33,0.29,2.91,1.96,1,1,1,none,217,148,108,158
159,Idli Sambar,3 idlis,268,125.02,4.63,24.91,1.14,3.40,274.96,1,1,1,none,225,202,171,199
160,Peanut Butter Sandwich,1 sandwich,155,274.48,11.57,28.74,13.33,3.88,382.98,1,1,0,peanut|gluten,189,144,100,144
161,Grilled Chicken Breast,1 serving,146,158.40,30.26,0.00,3.48,0.00,73.11,0,0,1,none,176,131,102,136
162,Brown Rice,1 bowl,175,106.56,2.54,22.36,0.87,1.76,4.94,1,1,1,none,205,174,132,170
163,Mixed Salad,1 bowl,116,26.88,1.85,5.35,0.29,2.16,39.52,1,1,1,none,102,148,84,111
164,Paneer Curry,1 bowl,194,254.40,10.74,8.75,19.36,1.96,414.96,0,1,1,dairy,192,118,83,131
165,Chapati,2 pieces,78,285.12,9.37,53.46,3.58,7.15,306.28,1,1,0,gluten,208,156,112,159
166,Omelette,2 eggs,107,147.84,12.30,1.07,10.26,0.00,153.14,0,1,1,egg,227,187,106,173
167,Salmon Fillet,1 fillet,155,199.68,19.52,0.00,12.58,0.00,58.29,0,0,1,fish,232,138,121,164
168,Avocado Toast,1 slice,136,211.20,5.86,22.36,11.62,6.86,335.92,1,1,0,gluten,155,175,102,144
169,Greek Yogurt Bowl,1 bowl,165,117.12,10.74,6.80,4.84,1.47,61.26,0,1,1,dairy,236,222,203,220
170,Tofu Stir Fry,1 bowl,204,139.20,11.71,9.72,7.74,2.94,385.32,1,1,1,soy,167,144,116,142
171,Lentil Soup,1 bowl,233,111.36,8.78,19.44,0.48,7.84,355.68,1,1,1,none,181,116,71,123
172,Beef Steak,1 steak,175,260.16,24.40,0.00,18.39,0.00,57.30,0,0,1,none,149,74,65,96
173,Banana Smoothie,1 glass,291,92.16,3.42,17.50,1.16,2.55,44.46,0,1,1,dairy,237,213,141,197
174,Quinoa Bowl,1 bowl,194,115.20,4.29,20.41,1.84,2.74,13.83,1,1,1,none,209,187,142,179
175,Pasta Alfredo,1 plate,272,220.80,7.81,25.27,10.65,1.47,454.48,0,1,0,gluten|dairy,237,209,172,206
176,Veggie Burger,1 burger,213,182.40,11.71,23.33,4.84,5.88,513.76,1,1,0,gluten|soy,173,119,86,126
177,Sushi Roll,8 pieces,243,144.00,5.86,27.22,1.94,0.98,405.08,0,0,0,fish|soy,232,219,208,220
178,Fruit Bowl,1 bowl,213,62.40,0.98,15.55,0.29,2.94,1.98,1,1,1,none,215,144,104,154
179,Idli Sambar,3 idlis,252,127.68,4.68,25.27,1.16,3.43,276.64,1,1,1,none,223,198,167,196
180,Peanut Butter Sandwich,1 sandwich,146,280.32,11.71,29.16,13.55,3.92,385.32,1,1,0,peanut|gluten,187,140,96,141
181,Grilled Chicken Breast,1 serving,148,161.70,30.63,0.00,3.54,0.00,73.56,0,0,1,none,174,138,98,137
182,Brown Rice,1 bowl,177,108.78,2.57,22.68,0.89,1.78,4.97,1,1,1,none,203,181,128,171
183,Mixed Salad,1 bowl,118,27.44,1.88,5.42,0.30,2.18,39.76,1,1,1,none,100,155,80,112
184,Paneer Curry,1 bowl,197,259.70,10.87,8.87,19.68,1.98,417.48,0,1,1,dairy,190,125,79,131
185,Chapati,2 pieces,79,291.06,9.48,54.23,3.64,7.23,308.14,1,1,0,gluten,206,163,108,159
186,Omelette,2 eggs,108,150.92,12.45,1.08,10.43,0.00,154.07,0,1,1,egg,225,194,102,174
187,Salmon Fillet,1 fillet,158,203.84,19.76,0.00,12.79,0.00,58.65,0,0,1,fish,230,145,117,164
188,Avocado Toast,1 slice,138,215.60,5.93,22.68,11.81,6.93,337.96,1,1,0,gluten,153,182,98,144
189,Greek Yogurt Bowl,1 bowl,167,119.56,10.87,6.90,4.92,1.48,61.63,0,1,1,dairy,234,229,199,221
190,Tofu Stir Fry,1 bowl,207,142.10,11.86,9.86,7.87,2.97,387.66,1,1,1,soy,165,151,112,143
191,Lentil Soup,1 bowl,236,113.68,8.89,19.72,0.49,7.92,357.84,1,1,1,none,179,123,67,123
192,Beef Steak,1 steak,177,265.58,24.70,0.00,18.70,0.00,57.65,0,0,1,none,147,81,61,96
193,Banana Smoothie,1 glass,296,94.08,3.46,17.75,1.18,2.57,44.73,0,1,1,dairy,235,220,137,197
194,Quinoa Bowl,1 bowl,197,117.60,4.35,20.71,1.87,2.77,13.92,1,1,1,none,207,194,138,180
195,Pasta Alfredo,1 plate,276,225.40,7.90,25.64,10.82,1.48,457.24,0,1,0,gluten|dairy,235,216,168,206
196,Veggie Burger,1 burger,217,186.20,11.86,23.66,4.92,5.94,516.88,1,1,0,gluten|soy,171,126,82,126
197,Sushi Roll,8 pieces,246,147.00,5.93,27.61,1.97,0.99,407.54,0,0,0,fish|soy,230,226,204,220
198,Fruit Bowl,1 bowl,217,63.70,0.99,15.78,0.30,2.97,1.99,1,1,1,none,213,151,100,155
199,Idli Sambar,3 idlis,256,130.34,4.74,25.64,1.18,3.46,278.32,1,1,1,none,221,205,163,196
200,Peanut Butter Sandwich,1 sandwich,148,286.16,11.86,29.58,13.78,3.96,387.66,1,1,0,peanut|gluten,185,147,92,141
201,Grilled Chicken Breast,1 serving,150,165.00,31.00,0.00,3.60,0.00,74.00,0,0,1,none,172,134,103,136
202,Brown Rice,1 bowl,180,111.00,2.60,23.00,0.90,1.80,5.00,1,1,1,none,201,177,133,170
203,Mixed Salad,1 bowl,120,28.00,1.90,5.50,0.30,2.20,40.00,1,1,1,none,98,151,85,111
204,Paneer Curry,1 bowl,200,265.00,11.00,9.00,20.00,2.00,420.00,0,1,1,dairy,188,121,84,131
205,Chapati,2 pieces,80,297.00,9.60,55.00,3.70,7.30,310.00,1,1,0,gluten,204,159,113,159
206,Omelette,2 eggs,110,154.00,12.60,1.10,10.60,0.00,155.00,0,1,1,egg,223,190,107,173
207,Salmon Fillet,1 fillet,160,208.00,20.00,0.00,13.00,0.00,59.00,0,0,1,fish,228,141,122,164
208,Avocado Toast,1 slice,140,220.00,6.00,23.00,12.00,7.00,340.00,1,1,0,gluten,151,178,103,144
209,Greek Yogurt Bowl,1 bowl,170,122.00,11.00,7.00,5.00,1.50,62.00,0,1,1,dairy,232,225,204,220
210,Tofu Stir Fry,1 bowl,210,145.00,12.00,10.00,8.00,3.00,390.00,1,1,1,soy,163,147,117,142
211,Lentil Soup,1 bowl,240,116.00,9.00,20.00,0.50,8.00,360.00,1,1,1,none,177,119,72,123
212,Beef Steak,1 steak,180,271.00,25.00,0.00,19.00,0.00,58.00,0,0,1,none,145,77,66,96
213,Banana Smoothie,1 glass,300,96.00,3.50,18.00,1.20,2.60,45.00,0,1,1,dairy,233,216,142,197
214,Quinoa Bowl,1 bowl,200,120.00,4.40,21.00,1.90,2.80,14.00,1,1,1,none,205,190,143,179
215,Pasta Alfredo,1 plate,280,230.00,8.00,26.00,11.00,1.50,460.00,0,1,0,gluten|dairy,233,212,173,206
216,Veggie Burger,1 burger,220,190.00,12.00,24.00,5.00,6.00,520.00,1,1,0,gluten|soy,169,122,87,126
217,Sushi Roll,8 pieces,250,150.00,6.00,28.00,2.00,1.00,410.00,0,0,0,fish|soy,228,222,209,220
218,Fruit Bowl,1 bowl,220,65.00,1.00,16.00,0.30,3.00,2.00,1,1,1,none,211,147,105,154
219,Idli Sambar,3 idlis,260,133.00,4.80,26.00,1.20,3.50,280.00,1,1,1,none,219,201,168,196
220,Peanut Butter Sandwich,1 sandwich,150,292.00,12.00,30.00,14.00,4.00,390.00,1,1,0,peanut|gluten,183,143,97,141
221,Grilled Chicken Breast,1 serving,152,168.30,31.37,0.00,3.66,0.00,74.44,0,0,1,none,170,130,99,133
222,Brown Rice,1 bowl,183,113.22,2.63,23.32,0.91,1.82,5.03,1,1,1,none,199,173,129,167
223,Mixed Salad,1 bowl,122,28.56,1.92,5.58,0.30,2.22,40.24,1,1,1,none,96,147,81,108
224,Paneer Curry,1 bowl,203,270.30,11.13,9.13,20.32,2.02,422.52,0,1,1,dairy,186,117,80,128
225,Chapati,2 pieces,81,302.94,9.72,55.77,3.76,7.37,311.86,1,1,0,gluten,202,155,109,155
226,Omelette,2 eggs,112,157.08,12.75,1.12,10.77,0.00,155.93,0,1,1,egg,221,186,103,170
227,Salmon Fillet,1 fillet,162,212.16,20.24,0.00,13.21,0.00,59.35,0,0,1,fish,226,137,118,160
228,Avocado Toast,1 slice,142,224.40,6.07,23.32,12.19,7.07,342.04,1,1,0,gluten,149,174,99,141
